1	How we are building the zkEVM			Day 2 - ZK Track	talk		2022-04-20T10:00:00+02:00	2022-04-20T10:30:00+02:00	Jordi Baylina	Jordi Baylina	Polygon	Jordi leads the technical development of the Polygon Hermez zkRollup and is currently working on the implementation of the zkEVM. He is the co-founder of the White Hat Group, the author of the MiniMe token contract, the elliptic curves Solidity library, as well as numerous other established contracts in the Ethereum space. Jordi is also a well-respected auditor as well as the co-founder of the donation platform Giveth, DAppNode, Iden3 and most recently, Polygon Hermez.
2	Polygon Nightfall and testnet launch update			Day 2 - ZK Track	talk		2022-04-20T10:30:00+02:00	2022-04-20T11:00:00+02:00	Chaitanya Konda	Chaitanya Konda	EY	Chaitanya is a Cryptography and Blockchain Researcher working in EY's Blockchain R&D team. She works on scalable privacy solutions for public blockchains. She led the development of Nightfall 1 project and currently is leading the deployment of Polygon Nightfall to mainnet in partnership with Polygon.
3	Building Scalable L2s with ZK			Day 2 - ZK Track	talk		2022-04-20T11:15:00+02:00	2022-04-20T11:45:00+02:00	Brendan Farmer	Brendan Farmer	Polygon	Brendan studied math and philosophy before starting Mir, a ZK L1 designed to provide privacy and scalability. The Mir team joined Polygon, becoming Polygon Zero, and released Plonky2, which set a new benchmark for ZKP performance. Polygon Zero is focused on building a scalable ZK L2 to onboard the next billion users to Ethereum.
4	Miden VM: the heart of Polygon Miden			Day 2 - ZK Track	talk		2022-04-20T11:45:00+02:00	2022-04-20T12:15:00+02:00	Bobbin Threadbare	Bobbin Threadbare	Polygon	Bobbin Threadbare is a project lead for Polygon Miden. Prior to joining Polygon, Bobbin was a core ZK researcher at Facebook's Novi where he led the development of Winterfell, a highly-performant STARK prover and verifier. Bobbin has made numerous contributions to the STARK-based systems including genSTARK library, Distaff VM, as well as AirScript and AirAssembly languages.
5	Anonymity for a billion people			Day 2 - ZK Track	talk		2022-04-20T12:15:00+02:00	2022-04-20T12:45:00+02:00	Remco Bloemen	Remco Bloemen	Worldcoin	Desire: To see humanity explore and enjoy the full extend of what is possible within the limits of the laws of physics, and to find ways to hack around those limitations where I can!
6	A look into the zk-evm			Day 2 - ZK Track	talk		2022-04-20T13:45:00+02:00	2022-04-20T14:15:00+02:00	Olivier Begassat, Théodore Chapuis-Chkaiban	Olivier Begassat	ConsenSys	Olivier Bégassat is part of the ConsenSys Applied Research RnD team. His current interest is around developping a zk-evm.	Théodore Chapuis-Chkaiban	ConsenSys	Theodore Chapuis-Chkaiban is an applied researcher in Cryptography at ConsenSys Protocols R&D team. His research interests lie at the intersection of cryptography and computer architecture design. He is the co-author of a paper recently published on EthResearch specifying a model for a zk-EVM which is currently being implemented.
7	zkEVM challenges and solutions			Day 2 - ZK Track	talk		2022-04-20T14:15:00+02:00	2022-04-20T14:45:00+02:00	Ye Zhang	Ye Zhang	Scroll Tech	Ye Zhang is the co-founder and zk-researcher at Scroll Tech. He used to work on hardware acceleration for ZKP algorithms and theoretical constructions behind ZKP protocols. Now his focus is on optimizing the zkEVM.
8	Do we need zkEVM equivalence or is EVM compatibility sufficient?			Day 2 - ZK Track	panel		2022-04-20T14:45:00+02:00	2022-04-20T15:15:00+02:00	Justin Drake, Ye Zhang, Jordi Baylina, Ohad Barta, Alex Gluchowski	Justin Drake	Ethereum Foundation	Justin is a researcher at the Ethereum Foundation.	Ye Zhang	Scroll Tech	Ye Zhang is the co-founder and zk-researcher at Scroll Tech. He used to work on hardware acceleration for ZKP algorithms and theoretical constructions behind ZKP protocols. Now his focus is on optimizing the zkEVM.	Jordi Baylina	Polygon	Jordi leads the technical development of the Polygon Hermez zkRollup and is currently working on the implementation of the zkEVM. He is the co-founder of the White Hat Group, the author of the MiniMe token contract, the elliptic curves Solidity library, as well as numerous other established contracts in the Ethereum space. Jordi is also a well-respected auditor as well as the co-founder of the donation platform Giveth, DAppNode, Iden3 and most recently, Polygon Hermez.	Ohad Barta	StarkWare	Ohad Barta has been a product manager at StarkWare for two years. He is involved in numerous projects building on both StarkNet and StarkEx. Ohad came to StarkWare with 9 years of prior experience in theoretical cryptography and code development.	Alex Gluchowski	zkSync	Alex is a software architect with over 15 years of experience in engineering and startups. Currently, he is a co-founder at Matter Labs, an R&D company on a mission to solve blockchain scalability challenge with zero-knowledge proofs. Alex is deeply passionate about individual freedom, self-ownership and decentralization.
9	Starknet dApps: How we built DeFi 3.0 with Cairo			Day 2 - ZK Track	talk		2022-04-20T15:30:00+02:00	2022-04-20T16:00:00+02:00	Vitaly Yakovlev	Vitaly Yakovlev	ZKX	Vitaly is the CTO at ZKX, where he leads all aspects of the technology and innovation of a suite of Web3 products. He is a strategic, business-driven leader with 20+ years of experience and specializes in developing operational strategies to assure business growth through emerging technologies and product-market-fit.
10	Why account abstraction on L2 matters			Day 2 - ZK Track	talk		2022-04-20T16:00:00+02:00	2022-04-20T16:30:00+02:00	Julien Niset	Julien Niset	Argent	Julien is the Chief Science Officer and co-founder of Argent. He holds a PhD in Physics from Université libre de Bruxelles with a focus on Quantum Information and Quantum Cryptography. He has authored several publications in leading peer reviewed scientific journals and is the author of three patents: for quantum random number generation, distribution and use in novel cryptographic schemes.
11	Choosing an L2 solution for the Tornado Cash Nova dapp			Day 2 - ZK Track	talk		2022-04-20T16:30:00+02:00	2022-04-20T17:00:00+02:00	Alexey Pertsev	Alexey Pertsev	Tornado Cash	Security auditor and solidity dev. Worked on many dapps including Tornado Cash.
12	A history and present-day overview of Ethereum scaling solutions			Day 2 - Beyond Rollups Track	talk		2022-04-20T10:00:00+02:00	2022-04-20T10:30:00+02:00	Valeria Yermakova	Valeria Yermakova	Offchain Labs	Product Design Lead at Arbitrum, former web2 founder, current handstand aficionado.
13	L2: Our one chance to fix the mistakes of the past			Day 2 - Beyond Rollups Track	talk		2022-04-20T10:30:00+02:00	2022-04-20T11:00:00+02:00	Barry Whitehat	Barry Whitehat	Ethereum Foundation	Barry has been working with ethereum since January 2016. He has developed dapps . He has had bugs accepted to the ethereum foundation's bug bounty. And performed security reviews of numerous projects. More recently he has become interested in zksnarks.
14	A note on bridges and layer-2			Day 2 - Beyond Rollups Track	talk		2022-04-20T11:15:00+02:00	2022-04-20T11:45:00+02:00	Patrick McCorry	Patrick McCorry	Infura	Patrick McCorry is an Engineer (more like Intern) at Infura. He was an Assistant Professor at King's College London in Cryptocurrencies and Security Engineering. As well, he was a researcher at University College London, University of Illinois at Urbana-Champaign and Newcastle University.
15	True Bridges vs Liquidity Networks			Day 2 - Beyond Rollups Track	talk		2022-04-20T11:45:00+02:00	2022-04-20T12:15:00+02:00	Vaibhav Chellani	Vaibhav Chellani	Socket	Ethereum Researcher, Co-Founder@SocketDotTech, L2 guy.
16	Rollup Glue - enabling users on L2 to access cross-chain DeFi			Day 2 - Beyond Rollups Track	talk		2022-04-20T12:15:00+02:00	2022-04-20T12:45:00+02:00	Will Harborne	Will Harborne	DeversiFi	Will is the founder of DeversiFi, an application specific L2 powered by zero-knowledge proofs, as well as the co-founder of ZKValidator. DeversiFi is focused on making DeFi yield and trading opportunities accessible from one easy and low-friction interface.
17	Improving Rollups: The Power of State Pools			Day 2 - Beyond Rollups Track	talk		2022-04-20T13:45:00+02:00	2022-04-20T14:15:00+02:00	Jacobo Toll-Messia	Jacobo Toll-Messia	Nahmi	Jacobo Toll-Messia, Founder and CEO at Nahmii AS, was a managing consultant for IBM Global Business services before launching Nahmi AS. At IBM, he specialized in product and business development, strategic planning, distributed systems, and data management. Before that, he was a program manager and country manager at Epsis. Jacobo is a thought leader and expert in cryptocurrency, blockchain, and the Web3 industry.
18	DeFi security issues when building on L2s			Day 2 - Beyond Rollups Track	talk		2022-04-20T14:15:00+02:00	2022-04-20T14:45:00+02:00	Anton Permenev	Anton Permenev	ChainSecurity	Anton Permenev is a founding security engineer at ChainSecurity, who performed numerous audits of DeFi protocols. He is also interested in formal verification and automated security analysis of the smart contracts.
19	Developing Smart Contracts in Sway			Day 2 - Beyond Rollups Track	talk		2022-04-20T14:45:00+02:00	2022-04-20T15:15:00+02:00	Emily Herbert	Emily Herbert	Fuel Labs	Emily is a compiler engineer at Fuel Labs, working on the Sway compiler. She holds a MS in Computer Science from the University of Massachusetts Amherst and was a PhD student at Northeastern University (before she dropped out), where she specialized in programming languages and compilers work. Before joining Fuel Labs, Emily spent time at both Google and NASA, focusing on combining the domains of programming languages and networking.
20	Optimism beyond Ethereum: EVM in non-EVM chains			Day 2 - Beyond Rollups Track	talk		2022-04-20T15:30:00+02:00	2022-04-20T16:00:00+02:00	Daniel Kmak	Daniel Kmak	Nervos	Blockchain developer at Nervos. Currently focused on UTXO-blockchains and EVM rollups. In the space since 2017. Previously worked for Ethereum Alarm Clock, Polymath, Energy Web Foundation.
21	Gas prices at the L2 pump getting you down? Carpool with BLS Wallet!			Day 2 - Beyond Rollups Track	talk		2022-04-20T16:00:00+02:00	2022-04-20T16:30:00+02:00	Jacob Caban-Tomski	Jacob Caban-Tomski	Ethereum Foundation	Developer working on scaling solutions using L2s for Ethereum to lower costs and enable more people from around world to participate and enjoy the benefits of using Web3.
22	The Layer 2 Tooling Landscape: Where We Are and Where We're (Hopefully) Going			Day 2 - Beyond Rollups Track	talk		2022-04-20T16:30:00+02:00	2022-04-20T17:00:00+02:00	Faina Shalts	Faina Shalts	ConsenSys	Faina Shalts is a Lead Blockchain Engineer at ConsenSys. Since joining in 2018, she has worked on Truffle’s open source tool suite. She now leads the Layer 2/Scaling team at Truffle, seeking to make Layer 2 adoption as easy as possible for developers.
